questionID,criteria 1,criteria 2,criteria 3,criteria 4,criteria 5
64cbe1c0462fc41ee881373c,2,4,,,1
64cbe364462fc41ee881387c,2,,,,
64cbe415462fc41ee8813900,2,4,,,
64cbe122462fc41ee88136c4,2,,,,
64cd3ed4cf51bcb2f5e84b8b,2,4,,,
64cbe2f9462fc41ee881382c,2,,,,
64cbff086ed968df390fb99b,2,,,,
64cbe359462fc41ee8813874,2,,,,
64cbf8604abbe7f75a6d14cc,2,,,,
64cbf752239ed5a2ef5c72f3,2,,,,
64cbff0b6ed968df390fb9c1,2,,,,
64cbe251462fc41ee88137b0,2,,,,
64cbf7b2239ed5a2ef5c734f,2,,,,
64cbff286ed968df390fbb01,2,,,,
64cbf7ae239ed5a2ef5c734b,2,,1,1,
64cbe1a0462fc41ee8813726,2,,2,1,
64cbff3a6ed968df390fbbcb,1,1,,,
64cbff4a6ed968df390fbc65,1,,,,
64cbff0b6ed968df390fb9bf,2,,,1,
64cbdeaad7d2c93ce9c0bdc3,2,,,,
64cbff186ed968df390fba4d,1,,,,
64cbf750239ed5a2ef5c72f1,1,4,,,
64cbff0f6ed968df390fb9ef,1,,,,
64cbff066ed968df390fb989,1,,,,
64cbff0f6ed968df390fb9eb,1,,,,
64cbff426ed968df390fbc23,1,,,,
64cbdfd2b517122ebabc7008,1,,,2,
64cbe224462fc41ee881378c,1,,,2,
64cbff416ed968df390fbc17,1,,,,
64cbe3c4462fc41ee88138c4,1,,,,
64cbf8264abbe7f75a6d1496,1,,,,
64cbe424462fc41ee881390c,1,,,,
64cbdffbb517122ebabc7026,1,,,,
64cbff436ed968df390fbc29,1,1,1,,1
64cbe2d4462fc41ee8813812,1,,,,
64cbe018b517122ebabc703e,1,,,,
64cbde26d7d2c93ce9c0bd65,1,,,,
64cbe183462fc41ee8813710,1,,,,
64cbf778239ed5a2ef5c7317,1,,,,1
64cbe0c8a284eff4a028e98e,1,,1,,
64cbff1f6ed968df390fba99,1,,1,1,
64cbdfcdb517122ebabc7006,1,,1,2,
64cbff346ed968df390fbb81,1,,1,,
64cbff0e6ed968df390fb9dd,1,,,,
64cbe2c2462fc41ee8813804,1,,,1,
64cbe31b462fc41ee8813844,1,,1,2,
64cbf77b239ed5a2ef5c7319,1,,1,,
64cbff2b6ed968df390fbb1f,1,,1,1,
64cbff526ed968df390fbcb3,1,,2,1,
64cbff296ed968df390fbb0d,1,,1,1,
64cbff1a6ed968df390fba6b,,,1,1,
64cbe327462fc41ee881384e,,,1,,
64cbdff6b517122ebabc7022,,,2,,
64cbe273462fc41ee88137ca,,3,3,,
64cbde37d7d2c93ce9c0bd6f,,,1,,
64cbe1de462fc41ee8813756,,3,3,,
64cbe2f7462fc41ee881382a,,,3,1,
64cd3ef5cf51bcb2f5e84ba7,,,1,1,
64cbff026ed968df390fb95d,,,1,,
64cbf79a239ed5a2ef5c7337,,,1,,1
64cbff2f6ed968df390fbb4d,,,1,,1
64cbdeb8d7d2c93ce9c0bdcb,,,1,,
64cbe386462fc41ee8813896,,,1,,
64cbe175462fc41ee8813706,,,1,,
64cbff416ed968df390fbc11,,,1,,
64cbff0c6ed968df390fb9cf,,,1,,
64cbf75f239ed5a2ef5c72ff,,,1,,
64cd3ef6cf51bcb2f5e84ba9,,,1,,
64cd3eedcf51bcb2f5e84ba1,,,1,,
64cd3eeacf51bcb2f5e84b9f,,,1,,
64cd3ee8cf51bcb2f5e84b9d,,,1,,2
64cd3ee5cf51bcb2f5e84b99,,,1,,
64cd3ee3cf51bcb2f5e84b97,,,1,,
64cd3ee0cf51bcb2f5e84b95,,,1,,
64cd3edccf51bcb2f5e84b91,,,1,,
64cd3ed9cf51bcb2f5e84b8f,,1,1,,
64cd3e41697b927cbfb0c209,,,1,,
64cd3e3e697b927cbfb0c207,,1,1,,
64cbff5e6ed968df390fbd3b,,,1,,
64cbff5d6ed968df390fbd37,,,2,2,
64cbff5d6ed968df390fbd31,,,1,,
64cbff5d6ed968df390fbd2f,,,1,,4
64cbff5d6ed968df390fbd2d,,,1,,4
64cbff5c6ed968df390fbd27,,,1,,
64cbff5b6ed968df390fbd1f,,,1,,
64cbff5b6ed968df390fbd1d,,,1,1,
64cbff5b6ed968df390fbd17,,,1,,
64cbff5a6ed968df390fbd13,,,1,,
64cbf78c239ed5a2ef5c7329,,,,2,
64cbe3d2462fc41ee88138ce,,,,2,4
64cbde31d7d2c93ce9c0bd6b,,,,1,4
64cbff406ed968df390fbc0d,,,,2,
64cbe152462fc41ee88136ec,,,,2,
64cbe24f462fc41ee88137ae,,,,2,
64cbe27c462fc41ee88137d2,,,,2,4
64cbf8734abbe7f75a6d14de,,,,2,
64cbe3f7462fc41ee88138e8,,,,2,
64cbf742239ed5a2ef5c72e3,,,,2,
64cbff556ed968df390fbcd5,,,,2,
64cbe2be462fc41ee8813800,,,,2,1
64cbddddd7d2c93ce9c0bd2f,,,,2,
64cbff576ed968df390fbcf3,,,,2,
64cbdd3bd7d2c93ce9c0bcc5,,,,2,
64cbff226ed968df390fbabb,,,,2,
64cbe1d1462fc41ee881374c,,,,1,
64cbff0c6ed968df390fb9cd,,,,2,1
64cbdd90d7d2c93ce9c0bcfd,,,,2,4
64cbff4f6ed968df390fbc99,,,,2,
64cbde3cd7d2c93ce9c0bd73,,,,2,
64cbf790239ed5a2ef5c732d,,,,1,
64cbff056ed968df390fb97f,,,,1,1
64cbff1e6ed968df390fba93,,,,2,
64cbff596ed968df390fbd03,,,,1,
64cbff356ed968df390fbb8d,,,,1,
64cbe198462fc41ee8813720,,,,1,
64cbff546ed968df390fbcd1,,,,2,
64cbf8404abbe7f75a6d14ae,,,,1,
64cbe15f462fc41ee88136f6,,,,1,
64cbff2d6ed968df390fbb33,,,,1,1
64cbff066ed968df390fb98f,,,,1,
64cbe0ada284eff4a028e978,,,,1,
64cbe238462fc41ee881379e,,,,,1
64cbe10e462fc41ee88136b8,,,,,1
64cbf7c2239ed5a2ef5c735f,,,,,1
64cbdda3d7d2c93ce9c0bd0b,,,,,1
64cbde74d7d2c93ce9c0bd9d,,,,,1
64cbde33d7d2c93ce9c0bd6d,,,,,1
64cbe232462fc41ee8813798,,,,,2
64cbff3b6ed968df390fbbcd,,,,,1
64cbff556ed968df390fbcd9,,,,,1
64cbe3e2462fc41ee88138da,,,,,1
64cbff4a6ed968df390fbc6b,,,,,1
64cbf8294abbe7f75a6d149a,,,,,1
64cbff226ed968df390fbac3,,,,,2
64cbff326ed968df390fbb71,,,,,1
64cbff406ed968df390fbc03,,,,,1
64cbde6ad7d2c93ce9c0bd95,,,,,2
64cbff496ed968df390fbc5d,,,,,2
64cbff2c6ed968df390fbb2d,,4,,,2
64cbff446ed968df390fbc35,,4,,,2
64cbff2c6ed968df390fbb2b,,,,,2
64cbde29d7d2c93ce9c0bd67,,,,,4
64cbe2ef462fc41ee8813824,,1,,,4
64cbe319462fc41ee8813842,,,,,4
64cbf7c7239ed5a2ef5c7363,,,,,4
64cbf8684abbe7f75a6d14d4,,,,,4
64cbe023b517122ebabc7046,,,,,4
64cbff566ed968df390fbce3,,,,,4
64cbff296ed968df390fbb09,,,,,4
64cbe170462fc41ee8813700,,,,,4
64cbf7b4239ed5a2ef5c7351,,,,,4
64cbff096ed968df390fb9a5,,,,,4
64cbf787239ed5a2ef5c7325,,,,,4
64cbff586ed968df390fbcf9,,,,,4
64cbff026ed968df390fb961,,,,,4
64cbdd71d7d2c93ce9c0bce5,,2,,,
64cbdd7ad7d2c93ce9c0bceb,,1,,,
64cbddabd7d2c93ce9c0bd11,,1,,,
64cbdeb2d7d2c93ce9c0bdc9,,3,,,
64cbdfdfb517122ebabc7012,,1,,,
64cbdfe2b517122ebabc7014,,3,,,
64cbe002b517122ebabc702c,,3,,,
64cbe0c5a284eff4a028e98c,,2,,,
64cbe1b4462fc41ee8813734,,3,,,
64cbe1cf462fc41ee881374a,,3,,,
64cbe2da462fc41ee8813814,,1,,,
64cbe33b462fc41ee881385c,,1,,,
64cbe346462fc41ee8813864,,1,,,
64cbf8394abbe7f75a6d14a8,,1,,,
64cbe3ef462fc41ee88138e2,,1,,,
64cbe41a462fc41ee8813904,,2,,,
64cbf8244abbe7f75a6d1494,,3,,,
64cbe226462fc41ee881378e,,3,,,
64cbff046ed968df390fb971,,1,,,
64cbe16d462fc41ee88136fe,,4,,,
64cbff116ed968df390fba07,,2,,,
64cbe0baa284eff4a028e982,,2,,,
64cbff186ed968df390fba57,,1,,,
64cbff196ed968df390fba59,,1,,,
64cbff266ed968df390fbae5,,1,,,
64cbff266ed968df390fbae9,,1,,,
64cbff2a6ed968df390fbb19,,1,,,
64cbff2d6ed968df390fbb39,,1,,,
64cbff2f6ed968df390fbb4b,,1,,,
64cbff366ed968df390fbb99,,1,,,
64cbff3e6ed968df390fbbef,,4,,,
64cbff426ed968df390fbc21,,1,,,
64cbff506ed968df390fbca1,,1,,,
64cd3e45697b927cbfb0c20d,,1,,,
64cbf74a239ed5a2ef5c72eb,,3,,,
64cbf8594abbe7f75a6d14c6,,3,,,
64cbf739239ed5a2ef5c72db,,2,,,